,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,port augusta,40,AU,1553386110,88,-32.49,137.76,72,4.7
1,saint-philippe,1,CA,1553385912,54,45.36,-73.48,32,19.46
2,butaritari,76,KI,1553386113,100,3.07,172.79,80.08,8.75
4,atuona,64,PF,1553385988,99,-9.8,-139.03,82.6,16.69
5,bozoum,0,CF,1553386584,56,6.31,16.38,76.75,12.44
6,iqaluit,90,CA,1553385769,71,63.75,-68.52,6.8,31.09
7,hilo,40,US,1553386093,61,19.71,-155.08,78.8,13.87
8,nagahama,56,JP,1553386398,77,35.49,136.29,43,3
9,kingisepp,0,RU,1553386585,96,59.38,28.61,36.43,7.85
10,provideniya,88,RU,1553386066,100,64.42,-173.23,19.6,20.83
11,port alfred,0,ZA,1553385910,95,-33.59,26.89,71.01,16.58
12,russell,0,AR,1553385600,53,-33.01,-68.8,73.4,3.36
13,bredasdorp,92,ZA,1553385704,83,-34.53,20.04,69.8,3.36
14,kirakira,64,SB,1553386563,100,-10.46,161.92,83.32,10.76
15,hobart,20,AU,1553385441,52,-42.88,147.33,69.01,9.17
16,rikitea,80,PF,1553386041,97,-23.12,-134.97,79.72,17.69
17,sisimiut,64,GL,1553386136,82,66.94,-53.67,-14.16,1.81
18,albany,1,US,1553385816,53,42.65,-73.75,35.01,17.22
19,bilibino,0,RU,1553386409,77,68.06,166.44,8.08,3.15
20,sri aman,36,MY,1553382000,100,1.24,111.46,75.2,2.82
21,faanui,8,PF,1553386128,100,-16.48,-151.75,84.4,9.64
22,tiksi,64,RU,1553386055,77,71.64,128.87,4.39,4.05
23,alugan,36,PH,1553386587,87,12.22,125.48,78.91,12.44
24,bambous virieux,75,MU,1553386139,83,-20.34,57.76,80.6,13.87
25,kuminskiy,0,RU,1553386588,76,58.67,66.57,16.63,4.61
26,padang,40,ID,1553382000,100,-0.92,100.36,75.2,2.24
27,sobolevo,64,RU,1553386588,74,54.43,31.9,32.47,11.32
28,mataura,92,NZ,1553386041,51,-46.19,168.86,70.81,5.95
30,kavieng,64,PG,1553386052,99,-2.57,150.8,84.22,6.4
31,ketchikan,90,US,1553385180,81,55.34,-131.65,51.8,16.11
32,cabo san lucas,5,MX,1553385719,47,22.89,-109.91,79,9.17
33,pevek,0,RU,1553386067,78,69.7,170.27,-7.86,1.7
34,puerto ayora,20,EC,1553385689,74,-0.74,-90.35,84.2,11.41
35,college,75,US,1553386562,37,64.86,-147.8,53.01,4.16
36,manoel urbano,44,BR,1553386120,85,-8.84,-69.26,79.09,2.82
37,rawson,80,AR,1553385807,67,-43.3,-65.11,57.67,21.83
38,mahebourg,75,MU,1553385839,83,-20.41,57.7,80.6,13.87
39,saskylakh,0,RU,1553386041,35,71.97,114.09,-24.06,2.93
40,sangareddi,40,IN,1553385724,78,17.63,78.09,81,8.19
42,fairbanks,75,US,1553385908,37,64.84,-147.72,54,4.16
43,coolum beach,0,AU,1553386524,59,-26.53,153.09,88,3.15
44,kuryk,0,KZ,1553386593,92,43.18,51.68,43.36,12.21
